effect,group,term,estimate,std.error,statistic,df,p.value
fixed,NA,(Intercept),784.3205686244711,12.465358577698062,62.920016599258474,50.097598437324365,2.3936716434994755e-49
fixed,NA,coal_mining,35.728783054100326,15.16308953149862,2.356299682850262,26.390956724316904,0.026152220265891882
fixed,NA,median_mining,37.720553349362774,7.14196002464972,5.2815408122104115,15775.40059321055,1.2980249064119726e-7
fixed,NA,Appalachia,31.17910570079937,3.1070569709564095,10.034932089192386,23530.628984432497,1.1942556452783207e-23
ran_pars,State,sd__(Intercept),88.39807789343473,NA,NA,NA,NA
ran_pars,State,sd__coal_mining,69.51154187427126,NA,NA,NA,NA
ran_pars,State,cor__(Intercept).coal_mining,-0.22518811125146146,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,120.53166653734455,NA,NA,NA,NA
