effect,group,term,estimate,std.error,statistic,df,p.value
fixed,NA,(Intercept),784.7695611877526,12.458965222084752,62.98834190472502,50.09142620784302,2.2925530524552385e-49
fixed,NA,median_mining,64.3072355854766,18.864489008534605,3.4089041879895583,18.233466447177534,0.0030837039907706076
fixed,NA,Appalachia,37.55888274260329,3.01442248304007,12.45972751129591,23814.90424856885,1.597735083598585e-35
ran_pars,State,sd__(Intercept),88.35293991434925,NA,NA,NA,NA
ran_pars,State,sd__median_mining,79.61768789512418,NA,NA,NA,NA
ran_pars,State,cor__(Intercept).median_mining,-0.19072137988354734,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,120.91984226327367,NA,NA,NA,NA
