effect,group,term,estimate,std.error,statistic,df,p.value
fixed,NA,(Intercept),784.3568983473276,12.469397155042579,62.90255163058437,50.096023603629625,2.4333131265954537e-49
fixed,NA,coal_mining,57.57863564268302,14.656028660439501,3.928665600805148,23.769601328577725,6.397780025514083e-4
fixed,NA,Appalachia,30.849808123671576,3.107546658026085,9.927383726964662,23412.28318807295,3.516644836868163e-23
ran_pars,State,sd__(Intercept),88.42641185634125,NA,NA,NA,NA
ran_pars,State,sd__coal_mining,69.87771943196923,NA,NA,NA,NA
ran_pars,State,cor__(Intercept).coal_mining,-0.2975688337206659,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,120.60074949824663,NA,NA,NA,NA
