term,estimate,std.error,statistic,p.value
(Intercept),799.2118313698428,1.5499526149810738,515.6362998746267,0
coal_mining,18.352273666385898,7.098258040415103,2.58546161070705,0.00973072746315905
median_mining,2.0696928029452675,8.745567713230875,0.23665619783768857,0.8129255447902282
Appalachia,2.302821148624808,2.400939418906425,0.9591333835793708,0.3375012469208828
rural,-0.146818051126471,1.6959084567793623,-0.08657191992856017,0.9310125111955058
unemployment_std,2.0160621282599824,1.824545309522768,1.1049668746167274,0.26918505474822213
median_income_std,-18.859193954171268,2.902532582006391,-6.4974960388333525,8.327389678632261e-11
poverty_rate_std,67.12501768462602,2.9058266201517253,23.100145486698423,8.754033464885771e-117
median_age_std,-29.283687838617524,1.6964604054289196,-17.261639437563925,2.3098376739424308e-66
hs_grad_rate_std,19.325512331337354,1.859633883177067,10.392105944166245,3.0481969829970465e-25
ba_higher_rate_std,-68.9640210900641,2.3494105769092397,-29.353754413070494,4.251152009525688e-186
perc_male_std,-22.282978095274103,1.4895963855343155,-14.959071001827947,2.296702579783943e-50
perc_black_std,-10.626567516601225,1.916964752222953,-5.543433964697803,2.997249841289986e-8
perc_amerin_std,24.725565315607994,1.646964264542522,15.012812267955326,1.0305358574726578e-50
perc_hisp_std,-41.98204600554476,1.8719275369440707,-22.42717475810021,2.9290920827108164e-110
PopToPCP_m_std,-7.885920801798256,1.4208463676914063,-5.55015727323941,2.8843744186809703e-8
drinking_m_std,-30.204751607056245,1.6659883983539072,-18.13022926023992,5.670683602960985e-73
obesity_m_std,28.009642962609217,1.7276550388179337,16.21252063245999,8.468846873590907e-59
smoking_m_std,39.11389135752136,1.6578162076701304,23.59362345268142,1.0993907546868343e-121
land_area_std,-3.0936440536102223,1.501126917802009,-2.0608810733605525,0.039325170571886135
southern,52.74484473446315,1.9450371734017529,27.11765381954916,1.5725434401274295e-159
uninsured_m_std,-17.132783269000406,1.8585704201987165,-9.218258874026729,3.2614598379415255e-20
coal_mining:Appalachia,11.721739064001492,8.915556548532008,1.3147512440972107,0.18860612046062006
median_mining:Appalachia,48.925940225924855,11.425702193655352,4.282094824166976,1.8586315829929393e-5
perc_male_std:perc_hisp_std,15.628588617448546,2.062930826842283,7.575915010864006,3.6951252114925124e-14
coal_mining:hs_grad_rate_std,-28.27015464549207,6.732635232503796,-4.198973161208779,2.6909723571137542e-5
coal_mining:ba_higher_rate_std,-32.24534753411419,6.9926350374171555,-4.611329972402583,4.021701970688926e-6
